Date,Avg
2020-04-03,187.009995
2020-04-06,192.240005
2020-04-07,192.899994
2020-04-08,189.699997
2020-04-09,195.690002
2020-04-10,191.889999
2020-04-13,192.259995
2020-04-14,189.729996
2020-04-15,189.149994
2020-04-16,185.149994
2020-04-17,187.059998
2020-04-20,184.119995
2020-04-21,183.149994
2020-04-22,181.369995
2020-04-23,189.979996
2020-04-24,187.949997
2020-04-27,186.529999
2020-04-28,185.929993
2020-04-29,189.899994
2020-04-30,195.440002
2020-05-04,188.000000
2020-05-05,188.389999
2020-05-06,190.529999
2020-05-07,187.500000
2020-05-08,186.330002
2020-05-12,184.889999
2020-05-13,185.550003
2020-05-14,183.229996
2020-05-15,185.610001
2020-05-18,185.500000
2020-05-19,193.000000
2020-05-20,193.570007
2020-05-21,196.050003
2020-05-22,194.000000
2020-05-25,195.100006
2020-05-26,198.949997
2020-05-27,196.050003
2020-05-28,194.360001
2020-05-29,196.250000
2020-06-01,200.250000
2020-06-02,199.440002
2020-06-03,203.070007
2020-06-04,207.990005
2020-06-05,202.690002
2020-06-08,204.979996
2020-06-09,205.440002
2020-06-10,204.839996
2020-06-11,200.199997
2020-06-15,193.860001
2020-06-16,196.000000
2020-06-17,197.979996
2020-06-18,195.449997
2020-06-19,194.169998
2020-06-22,195.350006
2020-06-23,194.800003
2020-06-25,191.720001
2020-06-26,192.830002
2020-06-29,192.639999
2020-06-30,193.740005
2020-07-02,195.389999
2020-07-03,195.639999
2020-07-06,199.210007
2020-07-07,199.699997
2020-07-08,197.979996
2020-07-09,201.479996
2020-07-10,198.220001
2020-07-13,201.600006
2020-07-14,195.020004
2020-07-15,193.589996
2020-07-16,182.300003
2020-07-17,183.800003
2020-07-20,184.679993
2020-07-21,187.270004
2020-07-22,187.029999
2020-07-23,187.500000
2020-07-24,184.860001
2020-07-27,185.520004
2020-07-28,185.100006
2020-07-29,184.500000
2020-07-30,184.440002
2020-07-31,182.600006
2020-08-03,182.500000
2020-08-04,184.050003
2020-08-05,183.580002
2020-08-06,189.580002
2020-08-07,188.449997
2020-08-10,187.490005
2020-08-11,187.880005
2020-08-12,190.500000
2020-08-13,192.509995
2020-08-14,194.270004
2020-08-17,193.830002
2020-08-18,190.070007
2020-08-19,190.479996
2020-08-20,188.779999
2020-08-21,187.250000
2020-08-24,185.399994
2020-08-25,187.449997
2020-08-26,186.220001
2020-08-27,187.500000
2020-08-28,184.949997
2020-08-31,183.110001
2020-09-01,181.399994
2020-09-02,184.800003
2020-09-03,182.479996
2020-09-04,178.979996
2020-09-07,178.630005
2020-09-08,172.649994
2020-09-09,172.720001
2020-09-10,173.899994
2020-09-11,174.429993
2020-09-14,178.440002
2020-09-15,178.169998
2020-09-16,182.669998
2020-09-17,181.800003
2020-09-18,184.399994
2020-09-21,181.360001
2020-09-22,176.509995
2020-09-23,179.820007
2020-09-24,176.000000
2020-09-25,175.100006
2020-09-28,174.199997
2020-09-29,172.750000
2020-09-30,171.039993
2020-10-01,171.160004
2020-10-02,168.410004
2020-10-05,170.110001
2020-10-06,170.699997
2020-10-07,171.750000
2020-10-08,168.190002
2020-10-09,167.800003
2020-10-12,167.500000
2020-10-13,169.089996
2020-10-14,166.679993
2020-10-15,167.039993
2020-10-16,167.039993
2020-10-19,165.000000
2020-10-20,163.539993
2020-10-21,166.800003
2020-10-22,163.869995
2020-10-23,165.149994
2020-10-26,164.440002
2020-10-27,158.910004
2020-10-28,154.169998
2020-10-29,155.880005
2020-10-30,155.000000
2020-11-02,153.979996
2020-11-03,158.210007
2020-11-05,163.800003
2020-11-06,163.000000
2020-11-09,166.720001
2020-11-10,169.029999
2020-11-11,172.830002
2020-11-12,170.000000
2020-11-13,172.889999
2020-11-16,181.050003
2020-11-17,185.050003
2020-11-18,182.199997
2020-11-19,185.199997
2020-11-20,184.100006
2020-11-23,183.619995
2020-11-24,185.089996
2020-11-25,187.000000
2020-11-26,188.240005
2020-11-27,185.039993
2020-11-30,185.130005
2020-12-01,182.600006
2020-12-02,185.000000
2020-12-03,186.990005
2020-12-04,186.210007
2020-12-07,188.220001
2020-12-08,190.350006
2020-12-09,190.300003
2020-12-10,189.550003
2020-12-11,193.009995
2020-12-14,203.500000
2020-12-15,199.009995
2020-12-16,201.000000
2020-12-17,206.690002
2020-12-18,214.000000
2020-12-21,209.970001
2020-12-22,203.429993
2020-12-23,209.000000
2020-12-24,208.520004
2020-12-25,206.199997
2020-12-28,205.529999
2020-12-29,206.979996
2020-12-30,209.880005
2021-01-04,212.710007
2021-01-05,213.199997
2021-01-06,215.320007
2021-01-08,215.199997
2021-01-11,225.169998
2021-01-12,229.000000
2021-01-13,229.289993
2021-01-14,228.500000
2021-01-15,227.500000
2021-01-18,225.550003
2021-01-19,227.649994
2021-01-20,223.000000
2021-01-21,224.380005
2021-01-22,216.500000
2021-01-25,216.899994
2021-01-26,216.520004
2021-01-27,219.490005
2021-01-28,215.990005
